lemma	top	first_tag
anti-discriminatory	G	G2.2
anti-establishment	G	G1.1c/E2
anti-ethnics	G	G1.2
anti-fascism	G	G1.2
anti-foreign	G	G1.2
anti-foreigner	G	G1.2
anti-gay	S	S3.2
anti-hassle	A	A12
anti-hegemonic	S	S7.1+/E2
anti-hero	Q	Q4.1/S2mf
anti-histamine	B	B3
anti-immigration	M	M1/M7/E2
anti-inflation	I	I1.3
anti-japanese	G	G1.2
anti-linkage	A	A2.2
anti-linkages	A	A2.2
anti-narcotics	G	G2.1/F3
anti-natal	B	B1
anti-national	G	G1.2/M7/S2mf
anti-nationals	G	G1.2/M7/S2mf
anti-nazi	G	G1.2
anti-oxidant	O	O1
anti-party	G	G1.2
anti-perspirant	B	B4
anti-psychotic	B	B3
anti-racism	G	G1.2
anti-racist	G	G1.2/S2mf
anti-rain	W	W4
anti-refugee	M	M1/M7/E2
anti-religious	S	S9/E2
anti-repressive	G	G1.2/A1.7
anti-rightist	G	G1.2
anti-riot	G	G2.1/E3
anti-royal	S	S7.1+/E2
anti-scientific	Y	Y1
anti-semitic	S	S9/E2
anti-slavery	S	S7.1-/E2
anti-smuggle	G	G2.1
anti-smuggling	G	G2.1
anti-social	S	S1.2.1
anti-socialist	G	G1.2
anti-solvent	O	O1.2
anti-tank	G	G3
anti-terror	G	G1.2
anti-terrorism	G	G1.2
anti-terrorist	G	G1.2
anti-trafficking	G	G2.1
anti-trust	S	S7.1+/E2
anti-union	G	G1.2
antiacid	B	B3
antibacterial	L	L2-/B3
antibiotic	B	B3
antibiotics	B	B3
antibodies	B	B1
antibody	B	B1
antic	K	K1/E4.1+/S2mf
antichristian	S	S9/E2
anticipate	X	X2.6
anticipated	X	X2.6
anticipating	X	X2.6
anticipation	X	X2.6
anticipatory	X	X2.6
anticlerical	G	G1.2/S9/E2
anticlericalism	G	G1.2/S9/E2
anticlimax	X	X9.2
anticlockwise	M	M6
anticoagulant	B	B3
antics	E	E4.1
anticyclone	W	W4
antidepressant	B	B3
antidepressants	B	B3
antidote	B	B3
antifreeze	O	O1.2
antihero	Q	Q4.1/S2mf
antihistamine	B	B3
antilock	M	M3
antimatter	Y	Y1
antimissile	G	G3
antimony	O	O1.1
antinational	G	G1.2/M7
antinationals	G	G1.2/M7/S2mf
antioxidant	O	O1
antipasta	F	F1
antipasto	F	F1
antipathy	E	E2
antiperspirant	B	B4
antipode	A	A6.1
antiquarian	T	T3/X2.4
antiquary	T	T3/X2.4/S2mf
antiquated	T	T3
antique	T	T3+++/O2
antiqued	O	O4.2
antiques	T	T3+++/O2
antiquey	T	T3
antiquity	T	T3
antiseptic	B	B3
antiserum	B	B3
antisocial	S	S1.2.1
antistatic	O	O4.1/O3
antithesis	A	A6.1
antitoxin	B	B3
antitrust	S	S7.1+/E2
antiwrinkle	B	B3
antler	B	B1/L2
antonym	Q	Q3/A6.1
antsy	E	E6
anus	B	B1
anvil	O	O2
anxiety	E	E6
anxious	E	E6
anxiously	E	E6
anxiousness	E	E6
any	N	N5.1
anybody	Z	Z8mfc
anybodys	Z	Z8
anyhow	Z	Z4
anymore	Z	Z5
anyone	Z	Z8mfc
anyones	Z	Z8
anyplace	M	M6
anythin	Z	Z8
anything	Z	Z8
anytime	T	T1.1
anyway	Z	Z4
anyways	Z	Z4
anywhere	M	M6
aortic	B	B1
aortitis	B	B1/B2
apace	N	N3.8
apart	N	N3.3
apartheid	G	G1.2
apartheid-like	G	G1.2
apartment	H	H1/H4
apartments	H	H1/H4
apathetic	X	X5.2
apathy	X	X5.2
ape	L	L2mfn
ape-shit	A	A5.1
aperiodic	N	N6
aperitif	F	F2
aperture	O	O2
apes	A	A6.1
aphasia	B	B2-/X2/Q2
aphasic	B	B2-/X2/Q2
aphelandra	L	L3
aphid	L	L2
aphorism	Q	Q2.2/A5.2
aphorisms	Q	Q2.2/A5.2
aphoristic	Q	Q2.2/A5.2
aphrodisiac	S	S4/B1
apiarist	F	F4/S2mf
apices	M	M6
apiece	S	S1.1.2
apish	S	S1.2.6
apishly	S	S1.2.6
aplastic	B	B2
aplenty	N	N5.2
aplomb	S	S1.2.3
apocalyptic	A	A1.1.2
apocryphal	A	A5.2/A7
apodosis	Q	Q3
apogee	A	A5.1+++/X9.2
apolitical	G	G1.1
apologetic	S	S1.2.4
apologetically	S	S1.2.4
apologia	S	S8+/Q2.1
apologies	Q	Q2.2/S1.2.4
apologise	Q	Q2.2/S1.2.4
apologising	Q	Q2.2/S1.2.4
apologist	S	S8+/Q2.1/S2mf
apologists	S	S8+/Q2.1/S2mf
apologize	Q	Q2.2/S1.2.4
apologized	Q	Q2.2/S1.2.4
apology	Q	Q2.2
apophysis	B	B2-/L2
apoplectic	E	E3
apoplexy	B	B2
apostasy	A	A1.7-/S9
apostate	S	S9/S2mf
apostle	S	S9/S2.2m
apostolate	S	S9
apostolic	S	S9
apostrophe	Q	Q3
apotheosis	A	A5.1+++/A4.1
appal	E	E2
appall	E	E2
appalled	E	E2
appalling	A	A5.1
appallingly	A	A5.1
appals	E	E2
apparatchik	G	G1.1/S2mf
apparatus	O	O2
apparatuses	O	O2
apparel	B	B5
apparelled	B	B5
apparent	A	A8
apparently	A	A8
apparition	S	S9
appeal	Q	Q2.1
appealability	O	O4.2
appealable	O	O4.2
appealed	O	O4.2
appealing	O	O4.2
appealingly	O	O4.2
appeals	Q	Q2.2
appear	A	A8
appearance	A	A10
appearances	A	A10
appeared	A	A8
appearing	A	A8
appears	A	A8
appease	E	E3
appeasement	S	S7.3
appeaser	E	E3+/S2mf
appeasers	E	E3+/S2mf
appeasing	E	E3
appel	Z	Z3mf
appellant	G	G2.1/S2mf
appellation	S	S7.1+/A9
append	A	A1.8+/N4
appendage	B	B1
appendices	Q	Q4.1
appendicitis	B	B2
appendix	B	B1
appertain	A	A9
appertained	A	A9
appertaining	A	A2.2
appetiser	F	F1/N4
appetisers	F	F1/N4
appetising	O	O4.2
appetite	F	F1/B1
appetizer	F	F1/N4
appetizers	F	F1/N4
appetizing	O	O4.2
appetizingly	O	O4.2
applaud	E	E2
applaudable	E	E2
applauded	E	E2
applauding	E	E2
applause	E	E2+/X3.2
apple-pie	F	F1
apples	L	L3
applesauce	F	F1
applet	Y	Y2
appley	F	F1
appliance	O	O2
applicability	A	A1.5.2
applicable	A	A1.5.2
applicant	Q	Q2.2/S2mf
application	Q	Q1.2
application-independent	Y	Y2
applicator	O	O2
applicators	O	O2
applied	A	A1.5.2
applies	Q	Q2.2
appliqué	C	C1
appliquéd	O	O4.1
apply	Q	Q2.2
applying	Q	Q2.2
appoint	S	S7.1
appointed	S	S7.1
appointee	I	I3.1/S2mf
appointing	S	S7.1
appointment	T	T1.1
apportion	A	A9
apportioning	A	A9
apportionment	A	A9
appose	A	A6.1
apposed	A	A6.1
apposite	A	A1.2
apposition	M	M6
appraisal	A	A5.1
appraise	A	A5.1
appraiser	A	A5.1/S2mf
appreciable	N	N5
appreciably	A	A13.3
appreciate	E	E2
appreciated	E	E2
appreciating	E	E2
appreciation	E	E2
appreciative	E	E2
appreciatively	E	E2
apprehend	G	G2.1
apprehended	A	A9
apprehension	E	E6
apprehensive	E	E6
apprehensively	E	E6
apprentice	P	P1/I3.1
apprenticed	P	P1/I3.1
apprentices	P	P1/I3.1
apprenticeship	P	P1/I3.1
apprise	Q	Q2.1
approach	M	M1
approachable	S	S1.2.1
approached	M	M1
approaches	X	X4.2
approaching	M	M1
approbation	S	S7.4
appropriate	A	A1.2
appropriately	A	A1.2
appropriateness	A	A1.2
appropriation	A	A9
approval	S	S7.4
approve	S	S7.4
approved	S	S7.4
approving	E	E2
approvingly	E	E2
approx	A	A13.4
approx.	A	A13.4
approximate	A	A13.4
approximately	A	A13.4
approximation	X	X2.1/A7
apractic	B	B2
apraxia	B	B2
apraxic	B	B2
apres-ski	K	K5.1/N4
apri-jackets	B	B5
apricot	F	F1
apricots	F	F1
apron	B	B5
aprons	B	B5
apropos	Z	Z4
apteryx	L	L2
aptitude	X	X9.1
aptly	A	A1.2
aptness	A	A1.2
aquafit	K	K5.1
aquamarine	O	O4.3
aquarelle	C	C1
aquaria	L	L2/H1
aquarium	L	L2/H1
aquariums	L	L2/H1
aquarobic	K	K5.1
aquatic	M	M4
aquatics	K	K5.1/M4
aqueduct	H	H1
aqueous	O	O1.2
aquifer	W	W3/M4
aquiline	O	O4.3
ar	Z	Z4
arabesque	K	K1
arabics	Z	Z2/S2mf
arabis	L	L3
arable	W	W3
arachnid	L	L2
arachnofobia	B	B2/E5
arachnoid	B	B1
aralia	L	L3
arapaima	L	L2
araucaria	L	L3
arbiter	G	G2.1/S2mf
arbitrage	I	I2.1/I1
arbitrageur	I	I2.1/I1/S2mf
arbitrarily	A	A1.4
arbitrariness	A	A1.4
arbitrary	A	A1.4
arbitrate	G	G2.1/X6
arbitration	G	G2.1/X6
arbitrator	G	G2.1/X6/S2mf
arbor	H	H1/L3
arboreal	A	A2.2/L3
arborescent	O	O4.4/L3
arboretum	L	L3/M7
arboriculture	F	F4
arbour	H	H1/L3
arc	O	O4.4
arcade	H	H1
arcane	A	A6.2
arch	X	X9.1+/E4.1
arch-rival	S	S7.3+++/S2mf
archaeological	T	T1.1.1
archaeologist	Y	Y1/S2mf
archaeologists	Y	Y1/S2mf
archaeology	Y	Y1/T1.1.1
archaic	T	T3
archaism	T	T3
archala	T	T3-/S2mf
archangel	S	S9
archdeacon	S	S9/S2mf
archdeaconeries	S	S9
archdeaconery	S	S9
archdeaconry	S	S9/S7.1
archdiocesan	S	S9
archdiocese	S	S9/M7
arched	O	O4.4
archenemy	S	S1.2.1-/S2mfc
archeological	Y	Y1
archeologist	Y	Y1/S2mf
archeologists	Y	Y1/S2mf
archeology	Y	Y1
archetypal	A	A4.1
archetypical	A	A4.1
archiepiscopal	S	S9
arching	O	O4.4
archipelago	W	W3
architect	H	H1/I3.2/S2mf
architect-designed	H	H1
architects	H	H1/I3.2/S2mf
architectural	H	H1
architecturally	H	H1
architecture	H	H1
architecturing	H	H1
architrave	H	H2
archival	Q	Q1.2/A9
archive	Q	Q1.2/A9
archived	Q	Q1.2/A9
archivist	Q	Q1.2/S2mf
archly	X	X9.1+/E4.1
archpriest	S	S9/S7.1+/S2.2m
archrival	S	S7.3+/S2mf
archway	H	H1
ardent	X	X5.2
ardently	X	X5.2
ardor	X	X5.2
ardour	X	X5.2
arduous	A	A12
are	A	A3
area	M	M7
area-wide	M	M7/N5.1
areas	M	M7
arena	K	K5.1/H1
areola	B	B1
argali	L	L2
argentite	O	O1.1
arghhhhh	Z	Z4
argon	O	O1.3
argot	Q	Q3
arguable	Q	Q2.1/A5
arguably	Q	Q2.1/A5
argue	Q	Q2.1
argued	Q	Q2.1
arguing	Q	Q2.1
argument	Q	Q2.1
argumentation	Q	Q2.1/X4.2
argumentative	Q	Q2.1/A6.1
aria	K	K2
ariat	Z	Z3c
ariats	Z	Z3
arid	O	O4.5
aridity	O	O1.2
aright	A	A5.3
arise	A	A1.1.1
arisen	A	A1.1.1
arising	M	M1
aristocracy	S	S7.1+c
aristocrat	S	S7.1+/S2mf
aristocratic	S	S7.1
arithmetic	N	N2
arithmetical	N	N2
arithmetician	N	N2/S2mf
arm	B	B1
arm-twisting	Q	Q2.2
arm-wrestle	K	K5.1
armadillo	L	L2
armament	G	G3
armband	B	B5
armchair	H	H5
armed	G	G3
armful	N	N5
armhole	B	B5
arming	G	G3
armistice	G	G3
armload	N	N5
armoir	H	H5
armor	G	G3
armory	G	G3
armour	G	G3
armour-plated	O	O4.1/A10
armour-plating	O	O4.1/A10
armoured	O	O4.1
armourer	G	G3/S2mf
armoury	G	G3
armpit	B	B1
armrest	H	H5
arms	B	B1
arms-related	G	G3
arms-saturated	G	G3/N5
armwrestle	K	K5.1
armwrestling	K	K5.1
army	G	G3c
arnica	L	L3
aroma-free	X	X3.5
aromatherapist	B	B3/S2mf
aromatic	X	X3.5
arose	A	A1.1.1
around	A	A13.4
arousal	S	S3.2
arouse	X	X5.2
aroused	X	X5.2
arousing	X	X5.2
arpeggio	K	K2
arraign	G	G2.1
arraigned	G	G2.1
arraigning	G	G2.1
arraignment	G	G2.1
arrange	S	S7.1
arranged	S	S7.1
arrangement	Q	Q2.2
arrangements	Q	Q2.2
arranger	S	S7.1+/S2mf
arrangers	S	S7.1+/S2mf
arranging	S	S7.1
arrant	A	A13.2
array	O	O2
arrayed	M	M2
arrears	I	I1.2
arrest	G	G2.1
arrestable	G	G2.1
arrested	G	G2.1
arresting	X	X5.1
arrests	G	G2.1
arrhythmia	B	B1
arrival	M	M1
arrive	M	M1
arrived	M	M1
arriving	M	M1
arriviste	X	X7++/G2.2
arrogance	S	S1.2.3
arrogant	S	S1.2.3
arrogantly	S	S1.2.3
arrogate	A	A9+/G2.2
arrow	G	G3
arrow-head	O	O4.4/O2
arrow-shaped	O	O4.4
arrowhead	G	G3
arrowroot	L	L3
arrows	O	O4.4
arse	B	B1
arsed	B	B1
arsehole	X	X9.1-/S2mf
arselicker	S	S7.2+/N5.2+/S2mf
arsenal	Z	Z2
arsenals	G	G3
arsenic	O	O1.1
arsine	O	O1.3
arson	G	G2.1-/O4.6
arsonic	O	O1.1
arsonist	G	G2.1-/O4.6+/S2mf
arsy	E	E1
art	C	C1
art-house	Q	Q4.3
artefact	O	O2
artefacts	O	O2
arterial	B	B1
arteries	B	B1
arteriole	B	B1
arterioles	B	B1
arteriosclerosis	B	B2
artery	B	B1
artex	C	C1
artful	X	X9.1
artfully	X	X9.1
artfulness	X	X9.1
arthouse	Q	Q4.3
arthritic	B	B2
arthritis	B	B2
artic	M	M3fn
artichoke	F	F1
artichokes	F	F1
article	G	G2.1/P1
articled	I	I3.2/P1
articulacy	Q	Q2.1
articulate	Q	Q3
articulated	O	O4.1
articulately	Q	Q3
articulation	Q	Q2.1
artifact	O	O2
artifacts	O	O2
artifice	G	G2.1
artificer	G	G3/S2mf
artificers	G	G3/S2mf
artificial	A	A5.4
artificiality	A	A5.4
artificially	A	A5.4
artilleryman	G	G3/S2.2m
artisan	C	C1/S2mf
artist	C	C1/S2mf
artiste	K	K4/S2mf
artistic	C	C1
artistically	C	C1
artistry	X	X9.1
artless	G	G2.2
artlessly	G	G2.2
artlessness	G	G2.2
arts	C	C1
artsy	X	X5.2+/C1
artsy-fartsy	S	S1.2.3
artwork	C	C1
arty	X	X5.2+/C1
arty-farty	S	S1.2.3
as	A	A13
asbestos	O	O1.1
asbestosis	B	B2
ascend	M	M1
ascendancy	S	S7.1
ascendant	S	S9
ascendants	S	S9
ascendency	S	S7.1
ascendent	S	S9
ascending	M	M1
ascension	S	S9
ascent	M	M1
ascertain	X	X2.3
ascetic	E	E4.1-/S2mf
ascetical	E	E4.1
ascidians	L	L2
ascot	Z	Z2
ascribe	A	A2.2
ascribed	A	A2.2
aseptic	B	B3
asexual	S	S3.2
asexuality	S	S3.2
ash	O	O1.1
ash-grey	O	O4.3
ashamed	G	G2.2
ashen	O	O4.3
ashen-faced	O	O4.1
ashes	O	O1.1
ashore	M	M6
ashtray	O	O2
ashy	O	O4.3
aside	M	M6
asinine	S	S1.2.6
ask	Q	Q2.2
asked	Q	Q2.2
askew	O	O4.1
asking	I	I1.3
aslant	O	O4.1
asleep	B	B1
asocial	S	S1.1.3
asociality	S	S1.1.3
asp	L	L2
asparagine	O	O1
asparagus	F	F1
aspartame	F	F1
aspect	A	A4.1
aspen	L	L3
asperity	E	E3
aspersion	Q	Q2.2
aspersions	Q	Q2.2
asphalt	O	O1
asphyxia	B	B2
asphyxiate	B	B2
asphyxiation	B	B2
aspic	F	F1
aspirant	X	X7+/S2mf
aspirate	Q	Q3/B1
aspiration	X	X7
aspirational	X	X7
aspire	X	X7
aspirin	B	B3c
aspiring	X	X7
ass	S	S1.2.6-/S2mfn
assail	Q	Q2.2
assailable	A	A10
assailant	G	G2.1-/S2mf
assassin	A	A1.1.2/S2mf
assassinate	L	L1
assassinated	L	L1
assassination	L	L1
assault	E	E3
assaulted	E	E3
assaulter	E	E3-/S2mf
assaulting	E	E3
assay	X	X2.4/Y1
assemblage	S	S5
assemble	S	S5
assembled	S	S5
assembler	A	A9+/S2mf
assemblies	S	S5
assembling	S	S5
assembly	S	S5+c
assent	S	S7.4
assenting	S	S7.4
assert	Q	Q2.2
assertion	Q	Q2.1
assertive	S	S1.2.3
assertiveness	S	S1.2.3
assess	X	X2.4/A5
assessable	N	N3
assessed	X	X2.4/A5
assessing	X	X2.4/A5
assessment	X	X2.4/A5
assessment-aware	X	X2.4/A5/X2.2
assessment-based	X	X2.4/A5
assessment-led	X	X2.4/A5
assessment-orientated	X	X2.4/A5
assessments	X	X2.4/A5
assessor	X	X2.4/S2mf
assessors	X	X2.4/S2mf
asset	A	A1.5.2
asset-stripping	N	N3.8+/I1.1
assets	I	I1.1
asshole	X	X9.1-/S2mf
assiduous	X	X5.1+/S1.2
assiduously	X	X5.1
assign	A	A9
assignability	A	A9
assignable	A	A9
assigned	A	A9
assignee	G	G2.1/S2mf
assignment	P	P1
assignments	P	P1
assignor	G	G2.1/S2mf
assimilate	X	X2.3
assimilation	A	A6.1+/A2.1
assist	S	S8
assistance	S	S8
assistant	S	S8
assisted	S	S8
assisting	S	S8
assists	S	S8
associate	S	S5
associated	S	S5
associates	S	S3.1/S2mf
associating	A	A6.1+/X2.1
association	S	S5+c
associative	A	A6.1+/X2.1
assonance	Q	Q3
assort	A	A4.1
assorted	A	A6.3
assorting	A	A4.1
assortment	A	A6.3
asst.	S	S8+/S2mf
assuage	N	N5-/A2.1
assume	X	X2.1
assumed	X	X2.1
assuming	X	X2.1
assumption	X	X2.1
assurance	Q	Q2.2
assure	A	A7
assured	A	A7
assuredly	A	A7
assuredness	A	A7
aster	L	L3
asterisk	Q	Q3
asterisks	O	O4.4
astern	M	M6/M4
asteroid	W	W1
asthma	B	B2
asthmatic	B	B2
astigmatic	B	B2-/X3.4
astigmatism	B	B2-/X3.4
astir	M	M1
astonish	X	X2.6
astonished	X	X2.6
astonishing	X	X2.6
astonishingly	X	X2.6
astonishment	X	X2.6
astound	X	X2.6
astounded	X	X2.6
astounding	X	X2.6
astoundingly	X	X2.6
astral	S	S9
astras	Z	Z3
astray	A	A5.3
astride	M	M8
astringency	O	O4.1
astringent	O	O4.1
astrologer	S	S9/S2mf
astrological	S	S9
astronaut	Y	Y1/W1/S2mf
astronautics	Y	Y1/M5/W1
astronomer	P	P1/W1/S2mf
astronomical	N	N3.2
astronomically	N	N3.2
astronomy	Y	Y1/W1
astrophysicist	P	P1/W1/S2mf
astrophysics	P	P1/W1
astroturf	O	O1.1
astute	X	X9.1
astuteness	X	X9.1
asunder	A	A6.1
asylees	E	E5-/M1/S2mf
asylum	G	G1.1
asylum-based	G	G1.1
asylum-seeker	Z	Z2/S2mf
asylum-seekers	Z	Z2/S2mf
asylum-seeking	Z	Z2/X2.4
asylum-system	Z	Z2/S7.1
asylum-systems	Z	Z2/S7.1
asymmetric	A	A6.1
asymmetrical	A	A6.1
asymmetry	A	A6.1
asymptomatic	B	B2
asynchronous	T	T1.1.2
at	Z	Z5
ataractic	E	E3
atavistic	T	T3+/S1.1.1
ate	F	F1
atelier	C	C1/H1
atheism	S	S9
atheist	S	S9/S2mf
atheistic	S	S9
atheroma	B	B2
atherosclerosis	B	B2
athlete	K	K5.1/S2mf
athletic	K	K5.1
athletic-shoe	B	B5
athletic-style	K	K5.1
athletics	K	K5.1
atlas	Q	Q4.1/W3
atlases	Q	Q4.1/W3
atmosphere	W	W3
atmospheric	W	W1
atmospherics	W	W1
atoll	W	W3
atom	O	O1
atomic	Y	Y1
atomise	N	N5-/A2.1
atomiser	O	O2
atomism	T	T3++/X2.1
atomize	N	N5-/A2.1
atomizer	O	O2
atonal	K	K2
atone	S	S1.1.2+/S9
atonement	S	S9
atopic	B	B2
atopy	B	B2
atresia	B	B2
atria	H	H2
atrio-ventricular	B	B1
atrioventricular	B	B1
atrium	H	H2
atrocious	A	A5.1
atrociously	A	A5.1
atrocities	G	G2.2
atrocity	G	G2.2
atrophied	B	B2
atrophy	B	B2
att	Z	Z3c
attach	A	A1.7
attache	G	G1.1/S2mf
attached	A	A1.7
attaching	A	A1.7
attachment	O	O2
attaché	G	G1.1/S2mf
attack	E	E3
attacked	Q	Q2.2
attacker	Q	Q2.2/S2mf
attacking	Q	Q2.2
attain	A	A9
attainable	A	A7
attained	A	A9
attaining	A	A9
attainment	A	A9
attar	O	O1.2/X3.5
attempt	X	X8
attempted	X	X8
attempting	X	X8
attend	S	S1.1.3
attendance	S	S1.1.3
attendances	S	S1.1.3
attendant	S	S2mf
attendants	S	S2mf
attended	S	S1.1.3
attendee	S	S1.1.3+/S2mf
attender	S	S1.1.3+/S2mf
attenders	S	S1.1.3+/S2mf
attending	S	S1.1.3
attention	X	X5.1
attention-seeking	X	X7/X5.1
attentive	X	X5.1
attentively	X	X5.1
attentiveness	X	X5.1
attenuate	N	N5-/A2.1
attenuated	N	N5-/A2.1
attenuation	A	A2.1
attenuator	O	O2/Y1
attest	Q	Q2.2/A5.2
attestation	Q	Q2.2/A5.2
attested	Q	Q2.2/A5.2
attic	H	H2
attire	B	B5
attired	B	B5
attitude	X	X2.1/E1
attitudinal	X	X2.1
attorney	G	G2.1/S2mf
attorney-general	S	S7.1+/S2mf
attorneys	G	G2.1/S2mf
attract	O	O4.2
attracted	O	O4.2
attracting	O	O4.2
attraction	O	O4.2
attractive	O	O4.2
attractively	O	O4.2
attractiveness	O	O4.2
attractor	O	O3
attractors	O	O3
attracts	O	O4.2
attributable	A	A2.2
attribute	A	A2.2/Q2.2
attributed	A	A2.2/Q2.2
attributes	O	O4.1
attributing	A	A2.2/Q2.2
attribution	A	A2.2/Q2.2
attrition	S	S1.2.5-/A2.1
attune	A	A6.2+/A2.1
attuned	A	A6.2
attunes	A	A6.2+/A2.1
atypical	A	A6.2
aubergine	L	L3
aubergines	F	F1
aubrieta	L	L3
auburn	O	O4.3
auction	I	I2.2
auctioned	I	I2.2
auctioneer	I	I2.2/S2mf
auctioning	I	I2.2
auctions	I	I2.2
audacious	E	E5
audaciously	E	E5
audacity	E	E5
audibility	X	X3.2
audible	X	X3.2
audibly	X	X3.2
audience	K	K1/S2mfc
audiences	K	K1/S2mfc
audio	K	K3
audio-typist	X	X3.2/Q1.2/S2mf
audio-visual	X	X3.2/X3.4
audiogram	B	B3/X3.2
audiology	B	B3/X3.2
audiophile	X	X3.2/S2mf
audiotape	X	X3.2/O2
audiotypist	I	I3.2/S2mf
audiovisual	Q	Q4.3
audit	I	I2.1
audited	I	I2.1
auditing	I	I2.1
audition	K	K4
auditionee	K	K4/S2mf
auditionees	K	K4/S2
auditor	I	I2.1/S2mf
auditoria	K	K1/H1
auditorium	K	K1/H1
auditoriums	K	K4/H2
auditory	X	X3.2
auger	O	O2
augment	N	N5+/A2.1
augmentation	N	N5+/A2.1
augmented	N	N5+/A2.1
augmenting	N	N5+/A2.1
augur	X	X2.6
auk	L	L2
aunt	S	S4f
auntie	S	S4f
aunties	S	S4f
aunty	S	S4f
aura	O	O4.1
aural	X	X3.2
aureole	C	C1/S9
auricle	B	B1
auricula	L	L3
auscultate	B	B3/X2.4
auscultation	B	B3
auspices	S	S7.1
auspicious	A	A5.1
auspiciously	A	A5.1
austere	O	O4.2
austerely	O	O4.2
austerity	A	A12
autarchy	S	S7.1
autarky	S	S7.1
autecology	P	P1/Y1
authentic	A	A5.4
authentically	A	A5.4
authenticate	A	A5.4
authenticated	A	A5.4
authenticity	A	A5.4
author	Q	Q4.1/S2mf
authoress	Q	Q4.1/S2.1f
authorial	Q	Q4.1
authoring	Q	Q1.2
authorisation	S	S7.4
authorise	S	S7.4
authorised	S	S7.4
authorises	S	S7.4
authorising	S	S7.4
authoritarian	S	S7.1
authoritarianism	S	S7.1
authoritative	S	S7.1
authoritatively	S	S7.1
authorities	G	G1.1
authority	G	G1.1c
authorization	S	S7.4
authorize	S	S7.4
authorized	S	S7.4
authorizing	S	S7.4
authorship	Q	Q4.1
autism	B	B2-/X1
autistic	B	B2-/X1
auto	M	M3
auto-biography	Q	Q4.1
auto-cartridge	Y	Y2
auto-cartridges	Y	Y2
auto-classify	A	A4.1/Y2
auto-destruction	A	A1.1.2
auto-immune	B	B2
auto-immunity	B	B2
autobahns	M	M3
autobiographical	Q	Q4.1
autobiographical-style	Q	Q1.2
autobiographies	Q	Q4.1
autobiography	Q	Q4.1
autoclave	O	O2
autocracy	G	G1.1
autocrat	S	S7.1+/S2mf
autocratic	S	S7.1
autocue	Q	Q4.3
autogamous	S	S3.2/B1/L3
autogamy	S	S3.2/B1/L3
autograph	Q	Q1.2
autoimmune	B	B2
autolysis	A	A1.1.2
automata	O	O2
automate	A	A1.1.1/S5
automated	A	A1.1.1/S5
automates	A	A1.1.1/S5
automatic	A	A1.1.1/S5
automatically	O	O2/S5
automation	A	A1.1.1/S5
automatisation	A	A1.1.1/S5
automatization	A	A1.1.1/S5
automatize	A	A1.1.1/S5
automaton	O	O2
automatons	O	O2
automobile	M	M3
automobiles	M	M3
automotive	M	M3
autonomous	S	S5
autonomously	S	S5
autonomy	G	G1.1/S7.1
autopilot	A	A1.1.1/X7
autoplastic	B	B3
autopsy	B	B3
autotomy	B	B1/A1.7
autotroph	B	B1/L3
autotrophic	B	B1/L3
autumn	T	T1.3
autumn-spring	T	T1.3
autumnal	T	T1.3
avail	A	A1.5.1
availability	A	A3
available	A	A3
avalanche	W	W4
avalanched	W	W4
avant-garde	T	T3
avarice	S	S1.2.2
avaricious	S	S1.2.2
ave	A	A9
avec	Z	Z5
avenge	S	S7.3+/E3
avenger	S	S7.3+/E3-/S2mf
avens	L	L3
avenue	M	M3/H3
aver	Q	Q2.2
average	A	A6.2
average-looking	O	O4.2
average-sized	N	N3.2
averaged	N	N2
averagely	A	A6.2
averaging	N	N2
averred	Q	Q2.2
averse	E	E2
aversion	E	E2
avert	A	A1.9
averting	A	A1.9
avertly	A	A1.9
aviary	L	L2/H1
aviation	M	M5
aviator	M	M5/S2mf
avid	X	X5.2
avidity	S	S1.2.2
avidly	X	X5.2
avifauna	L	L2/A6.3
avionic	M	M5
avionics	O	O3/M5
avirulent	B	B2
avocado	F	F1
avocation	I	I3.1-/X5.2
avoid	A	A1.9
avoidable	A	A1.9
avoidance	A	A1.9
avoided	A	A1.9
avoiding	A	A1.9
avon	Z	Z3c
avow	Q	Q2.2
avowal	Q	Q2.2
avowed	A	A10
avowedly	A	A10
avuncular	S	S1.2.1
await	X	X2.6
awaiting	X	X2.6
awake	B	B1
awaken	X	X2.2
awakening	B	B1
awaking	B	B1
award	A	A5.1+/A9
award-winning	A	A9
awards	A	A5.1+/A9
aware	X	X2.2
awareness	X	X2.2
awareness-raising	X	X2.2
awash	N	N5
away	M	M6
aways	K	K5.1
awe	E	E1
awe-inspiring	O	O4.2
awe-struck	E	E5
awed	E	E1
awesome	O	O4.2
awestruck	E	E5
awful	O	O4.2
awfullest	O	O4.2
awfully	A	A13.3
awhile	T	T1.3
awk	L	L2mfn
awkward	A	A12
awkwardly	A	A12
awkwardness	A	A12
awl	O	O2
awlwort	L	L3
awn	L	L3
awning	A	A10
awoke	B	B1
awoken	X	X2.2
awry	A	A5.3
ax	T	T2
axe	O	O2
axed	T	T2
axeman	E	E3-/S2.2m
axes	O	O2
axial	A	A4.2
axiom	X	X2.1
axiomatic	A	A5.2
axis	M	M1
axle	O	O2
axles	O	O2
axon	B	B1
ay	Z	Z4
aye	Z	Z4
aye-aye	Z	Z4
aylsham	Z	Z2
azalea	L	L3
azoospermia	B	B1
azure	O	O4.3
azurite	O	O1.1
babbies	T	T3-/S2mf
babble	Q	Q2.1
babbler	Q	Q2.2/S2mf
babblers	Q	Q2.2/S2mf
